Designator,Mid X,Mid Y,Rotation,Layer
D1,171.45,-58.57875,90.0,bottom
D10,171.45,-115.72875,90.0,bottom
D11,190.5,-115.72875,90.0,bottom
D12,209.55,-115.72875,90.0,bottom
D2,190.5,-58.57875,90.0,bottom
D3,209.55,-58.57875,90.0,bottom
D4,171.45,-77.62875,90.0,bottom
D5,190.5,-77.62875,90.0,bottom
D6,209.55,-77.62875,90.0,bottom
D7,171.45,-96.67875,90.0,bottom
D8,190.5,-96.67875,90.0,bottom
D9,209.55,-96.67875,90.0,bottom
OLED DISPLAY1,175.26625,-36.8625,180.0,top
SW1,161.925,-55.06,0.0,top
SW10,180.975,-112.21,0.0,top
SW11,200.025,-112.21,0.0,top
SW14,200.025,-56.9,270.0,top
SW2,180.975,-55.06,0.0,top
SW3,161.925,-74.11,0.0,top
SW4,180.975,-74.11,0.0,top
SW5,200.025,-74.11,0.0,top
SW6,161.925,-93.16,0.0,top
SW7,180.975,-93.16,0.0,top
SW8,200.025,-93.16,0.0,top
SW9,161.925,-112.21,0.0,top
U1,161.925,-37.375,0.0,bottom
